,number,value,datetime_start,datetime_complete,duration,params_dropout,params_epochs,params_hidden_size,params_learning_rate,params_num_layers,state
84,84,0.0007627025188412517,2024-12-19 13:42:20.163218,2024-12-19 13:42:23.395383,0 days 00:00:03.232165,0.4,50,128,0.007843949750947198,2,COMPLETE
85,85,0.000889994204044342,2024-12-19 13:42:23.395706,2024-12-19 13:42:26.660735,0 days 00:00:03.265029,0.4,50,128,0.007792608289953509,2,COMPLETE
86,86,0.0008435731870122254,2024-12-19 13:42:26.661525,2024-12-19 13:42:29.724521,0 days 00:00:03.062996,0.4,50,128,0.007985247611407592,2,COMPLETE
87,87,0.0009654637542553246,2024-12-19 13:42:29.724821,2024-12-19 13:42:32.632643,0 days 00:00:02.907822,0.4,50,128,0.007130287959435489,2,COMPLETE
88,88,0.00083157978951931,2024-12-19 13:42:32.632918,2024-12-19 13:42:35.561026,0 days 00:00:02.928108,0.1,50,128,0.007671718206231668,2,COMPLETE
89,89,0.0011417499335948378,2024-12-19 13:42:35.561329,2024-12-19 13:42:39.732111,0 days 00:00:04.170782,0.30000000000000004,50,256,0.005088025379516872,2,COMPLETE
90,90,0.004464783938601613,2024-12-19 13:42:39.732407,2024-12-19 13:42:40.907472,0 days 00:00:01.175065,0.1,20,128,0.006861139914411772,2,COMPLETE
91,91,0.0009492331300862134,2024-12-19 13:42:40.907750,2024-12-19 13:42:43.831901,0 days 00:00:02.924151,0.1,50,128,0.007901592808573983,2,COMPLETE
92,92,0.0006728424050379544,2024-12-19 13:42:43.832183,2024-12-19 13:42:46.770103,0 days 00:00:02.937920,0.4,50,128,0.007594372424580848,2,COMPLETE
93,93,0.001957788015715778,2024-12-19 13:42:46.770373,2024-12-19 13:42:49.676618,0 days 00:00:02.906245,0.30000000000000004,50,128,0.007503790695342225,2,COMPLETE
94,94,0.0015683953824918717,2024-12-19 13:42:49.676893,2024-12-19 13:42:52.577267,0 days 00:00:02.900374,0.4,50,128,0.008258577635377684,2,COMPLETE
95,95,0.0007642184791620821,2024-12-19 13:42:52.577673,2024-12-19 13:42:55.499895,0 days 00:00:02.922222,0.2,50,128,0.0064628286064146775,2,COMPLETE
96,96,0.002772956038825214,2024-12-19 13:42:55.500189,2024-12-19 13:42:58.439933,0 days 00:00:02.939744,0.1,50,128,0.006510948820656319,2,COMPLETE
97,97,0.005634168162941933,2024-12-19 13:42:58.440206,2024-12-19 13:42:59.031559,0 days 00:00:00.591353,0.2,10,128,0.006113583305554735,2,COMPLETE
98,98,0.0014120996347628534,2024-12-19 13:42:59.031836,2024-12-19 13:43:01.968553,0 days 00:00:02.936717,0.1,50,128,0.008051333312039848,2,COMPLETE
99,99,0.0007082748925313354,2024-12-19 13:43:01.968837,2024-12-19 13:43:04.872169,0 days 00:00:02.903332,0.2,50,128,0.005510431154948699,2,COMPLETE
