,Energy_Consumption,Session_Count,Day_of_Week,Hour_of_Day,Month_of_Year,Year,Day/Night,IsHoliday,Weekend,HourSin,HourCos,DayOfWeekSin,DayOfWeekCos,MonthOfYearSin,MonthOfYearCos,Season,Energy_Consumption_1h,Energy_Consumption_6h,Energy_Consumption_12h,Energy_Consumption_24h,Energy_Consumption_1w,Energy_Consumption_rolling
2022-03-07 13:00:00,29.813064502508222,9,0,13,3,2022,True,0,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,1.0,6.123233995736766e-17,Spring,32.02081642033243,4.54462273601971,16.117947229356616,12.132992320069397,14.371950297992933,16.601975703070547
2022-03-07 14:00:00,37.72887429499409,7,0,14,3,2022,True,0,0,-0.4999999999999998,-0.8660254037844388,0.0,1.0,1.0,6.123233995736766e-17,Spring,29.813064502508222,15.051976675419784,11.396627253399894,26.172630401347217,15.456458600127858,17.083485865305835
2022-03-07 15:00:00,25.995230942532938,8,0,15,3,2022,True,0,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,1.0,6.123233995736766e-17,Spring,37.72887429499409,43.109229546172095,11.396627253399894,23.4075410087753,26.668231438162216,17.1913062792124
2022-03-07 16:00:00,26.0064023152286,8,0,16,3,2022,True,0,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,1.0,6.123233995736766e-17,Spring,25.995230942532938,34.054455273480926,11.396627253399894,11.45355850389064,35.1604099967048,17.797674771351485
2022-03-07 17:00:00,26.748927872841353,11,0,17,3,2022,True,0,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,1.0,6.123233995736766e-17,Spring,26.0064023152286,34.5464202037439,11.396627253399894,13.161546908989031,18.42993555995709,18.36381564484533
2022-03-07 18:00:00,31.536426332122602,9,0,18,3,2022,True,0,0,-1.0,-1.8369701987210297e-16,0.0,1.0,1.0,6.123233995736766e-17,Spring,26.748927872841353,32.02081642033243,4.905939205047388,8.155380397569083,17.17523877980715,19.338025892118395
2022-03-07 19:00:00,22.98290802064518,6,0,19,3,2022,False,0,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,1.0,6.123233995736766e-17,Spring,31.536426332122602,29.813064502508222,4.54462273601971,15.233014190419835,16.64957211534264,19.66093813504445
2022-03-07 20:00:00,11.834088139165967,3,0,20,3,2022,False,0,0,-0.8660254037844386,0.5,0.0,1.0,1.0,6.123233995736766e-17,Spring,22.98290802064518,37.72887429499409,15.051976675419784,12.902204213093519,17.899924708852325,19.616433298630803
2022-03-07 21:00:00,0.6006482060612953,1,0,21,3,2022,False,0,0,-0.7071067811865477,0.7071067811865475,0.0,1.0,1.0,6.123233995736766e-17,Spring,11.834088139165967,25.995230942532938,43.109229546172095,9.161157949994926,9.137727119656065,19.25974539263357
2022-03-07 22:00:00,7.207778472735544,1,0,22,3,2022,False,0,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,1.0,6.123233995736766e-17,Spring,0.6006482060612953,26.0064023152286,34.054455273480926,4.193644215770726,6.065910582060174,19.3853343200071
2022-03-07 23:00:00,8.543561467948674,2,0,23,3,2022,False,0,0,-0.2588190451025215,0.9659258262890681,0.0,1.0,1.0,6.123233995736766e-17,Spring,7.207778472735544,26.748927872841353,34.5464202037439,4.193644215770726,7.599520172114932,19.566580872181184
2022-03-08 00:00:00,11.66038845677931,2,1,0,3,2022,False,0,0,0.0,1.0,0.7818314824680297,0.6234898018587336,1.0,6.123233995736766e-17,Spring,8.543561467948674,31.536426332122602,32.02081642033243,10.662114062391504,6.085947610302189,19.608175638614007
2022-03-08 01:00:00,11.66038845677931,2,1,1,3,2022,False,0,0,0.25881904510252074,0.9659258262890683,0.7818314824680297,0.6234898018587336,1.0,6.123233995736766e-17,Spring,11.66038845677931,22.98290802064518,29.813064502508222,16.117947229356616,5.8801940493444995,19.422444023089955
2022-03-08 02:00:00,6.391234939695871,2,1,2,3,2022,False,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,1.0,6.123233995736766e-17,Spring,11.66038845677931,11.834088139165967,37.72887429499409,11.396627253399894,3.31792710141334,19.21388601001895
2022-03-08 03:00:00,0.0,0,1,3,3,2022,False,0,0,0.7071067811865475,0.7071067811865476,0.7818314824680297,0.6234898018587336,1.0,6.123233995736766e-17,Spring,6.391234939695871,0.6006482060612953,25.995230942532938,11.396627253399894,1.18523729233821,18.73902654112729
