,params,rmse
241,"(2, 2, 0)x(1, 1, 1, 12)",2927.8449638801208
242,"(0, 2, 2)x(2, 0, 2, 12)",2946.0395847116793
243,"(2, 0, 2)x(1, 1, 1, 12)",2968.9848038289924
244,"(2, 1, 0)x(1, 2, 1, 12)",2988.5033413170418
245,"(2, 2, 2)x(1, 1, 1, 12)",3000.610386738717
246,"(1, 2, 2)x(2, 0, 2, 12)",3009.3057887432674
247,"(0, 0, 0)x(2, 0, 0, 12)",3038.896438714697
248,"(1, 1, 2)x(1, 1, 2, 12)",3062.861358969048
249,"(1, 1, 2)x(2, 0, 0, 12)",3063.697194960013
250,"(0, 2, 1)x(2, 1, 2, 12)",3080.127303998454
251,"(2, 2, 2)x(2, 0, 2, 12)",3154.242168079135
252,"(2, 2, 2)x(1, 2, 1, 12)",3185.3782247181116
253,"(1, 1, 2)x(2, 0, 1, 12)",3190.0648220320118
254,"(2, 1, 1)x(1, 1, 1, 12)",3225.120527617349
255,"(0, 0, 2)x(2, 2, 1, 12)",3226.9817708434603
256,"(2, 1, 1)x(2, 0, 0, 12)",3243.430287014669
257,"(1, 0, 0)x(2, 0, 2, 12)",3315.2268634750026
258,"(2, 2, 1)x(2, 0, 2, 12)",3344.2522485811664
259,"(2, 0, 1)x(1, 2, 2, 12)",3344.557184720257
260,"(2, 0, 1)x(2, 1, 1, 12)",3363.930213292793
261,"(2, 1, 1)x(1, 2, 0, 12)",3390.01322852157
262,"(1, 1, 0)x(1, 2, 0, 12)",3423.3974521689834
263,"(2, 2, 2)x(2, 2, 1, 12)",3435.9637218973967
264,"(1, 0, 0)x(1, 2, 0, 12)",3437.8808305290545
265,"(0, 1, 2)x(1, 2, 0, 12)",3582.607902968825
266,"(2, 2, 2)x(1, 2, 2, 12)",3603.145473339858
267,"(2, 1, 1)x(2, 0, 2, 12)",3722.0987952216483
268,"(0, 2, 1)x(1, 1, 2, 12)",3749.3463696021226
269,"(2, 2, 0)x(2, 1, 1, 12)",3751.2807138841104
270,"(1, 2, 1)x(2, 2, 1, 12)",3772.397177450605
271,"(0, 1, 2)x(1, 2, 2, 12)",3798.2327508883427
272,"(0, 2, 0)x(2, 2, 0, 12)",3840.6782543302857
273,"(2, 0, 0)x(1, 1, 2, 12)",3847.715072190726
274,"(2, 2, 1)x(2, 2, 2, 12)",3861.239855148846
275,"(1, 2, 2)x(1, 1, 2, 12)",3867.2809552389244
276,"(0, 0, 0)x(1, 2, 0, 12)",3881.1439556431637
277,"(2, 2, 2)x(2, 2, 2, 12)",3898.3065852202635
278,"(0, 2, 0)x(2, 2, 1, 12)",3918.5516850455924
279,"(0, 1, 1)x(1, 2, 2, 12)",3959.8719587880078
280,"(1, 2, 2)x(1, 0, 2, 12)",3984.80930473075
281,"(1, 2, 2)x(2, 2, 2, 12)",4126.341686725354
282,"(2, 0, 2)x(1, 2, 1, 12)",4132.771596444716
283,"(0, 0, 0)x(1, 2, 2, 12)",4133.797579193119
284,"(1, 0, 2)x(2, 1, 0, 12)",4142.11429959888
285,"(0, 0, 0)x(2, 2, 1, 12)",4223.5638980390595
286,"(0, 0, 0)x(1, 2, 1, 12)",4229.937966144928
287,"(1, 2, 1)x(1, 0, 2, 12)",4233.226553996817
288,"(1, 2, 0)x(2, 1, 2, 12)",4274.103671144031
289,"(1, 2, 1)x(2, 2, 2, 12)",4287.880755416101
290,"(0, 0, 0)x(2, 2, 2, 12)",4308.994826914364
291,"(1, 2, 2)x(2, 2, 1, 12)",4315.0827110500995
292,"(0, 1, 1)x(1, 2, 0, 12)",4334.910223831924
293,"(0, 2, 0)x(1, 2, 0, 12)",4349.998895893881
294,"(1, 1, 2)x(2, 1, 1, 12)",4389.485506792762
295,"(1, 2, 1)x(2, 0, 2, 12)",4397.76537848727
