,params,rmse
378,"(1, 0, 2)x(2, 0, 0, 12)",17015.313155258315
379,"(0, 1, 1)x(2, 2, 0, 12)",17518.093411188092
380,"(2, 2, 2)x(0, 2, 1, 12)",17725.74997428166
381,"(0, 0, 2)x(2, 2, 0, 12)",17787.717146528565
382,"(1, 2, 2)x(0, 1, 0, 12)",17829.703609846078
383,"(1, 1, 0)x(0, 1, 2, 12)",18033.54501275089
384,"(0, 1, 2)x(2, 2, 2, 12)",18473.481141029035
385,"(0, 2, 1)x(2, 0, 0, 12)",19254.907560090447
386,"(1, 0, 0)x(0, 2, 1, 12)",19816.09212644319
387,"(1, 0, 1)x(1, 0, 2, 12)",20141.427804403364
388,"(1, 0, 0)x(1, 0, 0, 12)",20501.132704634467
389,"(2, 1, 0)x(2, 2, 0, 12)",20521.55207406463
390,"(0, 1, 0)x(2, 2, 2, 12)",20706.195982958732
391,"(1, 0, 1)x(2, 0, 0, 12)",21687.18781467108
392,"(2, 2, 2)x(0, 2, 2, 12)",22591.520533499744
393,"(1, 2, 2)x(0, 1, 2, 12)",22874.42129096204
394,"(2, 2, 2)x(0, 1, 1, 12)",23101.999902483352
395,"(0, 1, 0)x(2, 2, 0, 12)",23228.152443268995
396,"(2, 2, 2)x(2, 1, 0, 12)",23278.55485717654
397,"(1, 1, 1)x(2, 2, 0, 12)",23364.31490353337
398,"(1, 0, 0)x(0, 0, 1, 12)",23400.794082221364
399,"(2, 2, 1)x(2, 1, 2, 12)",23478.62522230643
400,"(0, 2, 2)x(0, 1, 0, 12)",23898.061117512036
401,"(1, 0, 2)x(1, 2, 2, 12)",24126.019615921992
402,"(2, 1, 2)x(2, 1, 1, 12)",24185.49933096472
403,"(1, 2, 1)x(0, 1, 2, 12)",24279.745112999055
404,"(1, 0, 0)x(0, 0, 0, 12)",25469.914796510773
405,"(2, 2, 2)x(2, 2, 0, 12)",25927.954722934388
406,"(0, 2, 1)x(0, 2, 2, 12)",26189.0994631626
407,"(2, 2, 0)x(2, 1, 1, 12)",26213.156080014836
408,"(1, 0, 1)x(1, 0, 0, 12)",26486.98763573491
409,"(0, 0, 2)x(1, 2, 1, 12)",27386.781818382096
